Test Case ID,Test Step,Window,Data Fields ,Data Values,Action,Condition,Browser,Field Name,Comments
78601,2,Select 1st Record From Need Retake Order.,,Select1FromNeedRetakeOrder,EXECUTETESTCASE,,common,Call Select1FromNeedRetakeOrder Function.,
78601,3,Get Current Email ID,,getCurrentEmail1,EXECUTETESTCASE,,common,Call getCurrentEmail1 Function.,
78601,4,Change Status to Need Clearance,,changeStatusCanceled,EXECUTETESTCASE,,common,Call changeStatusCanceled Function.,
78601,5,Staff Logout,,StaffLogout,EXECUTETESTCASE,,common,Call StaffLogout function.,
,,,,,,,,,
78602,1,Staff Login,,StaffLogin,EXECUTETESTCASE,,common,Call StaffLogin function.,
78602,2,Select 1st Record From Waiting on Photos Before STL.,,Select1FromWaitingonPhotoBeforeSTL,EXECUTETESTCASE,,common,Call Select1FromWaitingonPhotoBeforeSTL Function.,
78602,3,Get Current Email ID,,getCurrentEmail1,EXECUTETESTCASE,,common,Call getCurrentEmail1 Function.,
78602,4,Change Status to Need Clearance,,changeStatusCanceled,EXECUTETESTCASE,,common,Call changeStatusCanceled Function.,
78602,5,Staff Logout,,StaffLogout,EXECUTETESTCASE,,common,Call StaffLogout function.,
,,,,,,,,,
78603,1,Staff Login,,StaffLogin,EXECUTETESTCASE,,common,Call StaffLogin function.,
78603,2,Select 1st Record From Waiting on STL Files.,,Select1FromWaitingonSTLFiles,EXECUTETESTCASE,,common,Call Select1FromWaitingonSTLFiles Function.,
78603,3,Get Current Email ID,,getCurrentEmail1,EXECUTETESTCASE,,common,Call getCurrentEmail1 Function.,
78603,4,Change Status to Need Clearance,,changeStatusCanceled,EXECUTETESTCASE,,common,Call changeStatusCanceled Function.,
78603,5,Staff Logout,,StaffLogout,EXECUTETESTCASE,,common,Call StaffLogout function.,
